,width,module,t,l1
241,1024,layers.3.query,0,0.1206839457154274
242,1024,layers.3.key,0,0.12115409970283508
243,1024,layers.3.value,0,0.11666642874479294
244,1024,layers.3,0,0.11666642874479294
245,1024,fout,0,0.06721170991659164
246,1024,,0,0.06721170991659164
247,1024,fin,1,0.8044159412384033
248,1024,layers.0.query,1,0.5673855543136597
249,1024,layers.0.key,1,0.5663749575614929
250,1024,layers.0.value,1,0.5733946561813354
251,1024,layers.0,1,0.34696149826049805
252,1024,layers.1.query,1,0.24206887185573578
253,1024,layers.1.key,1,0.23740629851818085
254,1024,layers.1.value,1,0.24068087339401245
255,1024,layers.1,1,0.2401561439037323
256,1024,layers.2.query,1,0.16700904071331024
257,1024,layers.2.key,1,0.16271911561489105
258,1024,layers.2.value,1,0.16755135357379913
259,1024,layers.2,1,0.16755133867263794
260,1024,layers.3.query,1,0.1200239434838295
261,1024,layers.3.key,1,0.12011966109275818
262,1024,layers.3.value,1,0.115775927901268
263,1024,layers.3,1,0.115775927901268
264,1024,fout,1,0.0655176043510437
265,1024,,1,0.0655176043510437
266,1024,fin,2,0.8043627142906189
267,1024,layers.0.query,2,0.5673120021820068
268,1024,layers.0.key,2,0.566342830657959
269,1024,layers.0.value,2,0.5732734203338623
270,1024,layers.0,2,0.346832275390625
271,1024,layers.1.query,2,0.24160249531269073
272,1024,layers.1.key,2,0.23704542219638824
273,1024,layers.1.value,2,0.2399766445159912
274,1024,layers.1,2,0.23942111432552338
275,1024,layers.2.query,2,0.16663087904453278
276,1024,layers.2.key,2,0.16221968829631805
277,1024,layers.2.value,2,0.1670490950345993
278,1024,layers.2,2,0.1670490801334381
279,1024,layers.3.query,2,0.11962497234344482
280,1024,layers.3.key,2,0.1193583682179451
281,1024,layers.3.value,2,0.11511623114347458
282,1024,layers.3,2,0.11511623114347458
283,1024,fout,2,0.06397029757499695
284,1024,,2,0.06397029757499695
285,2048,fin,0,0.8067775368690491
286,2048,layers.0.query,0,0.5643748044967651
287,2048,layers.0.key,0,0.5702745914459229
288,2048,layers.0.value,0,0.5669212937355042
289,2048,layers.0,0,0.33085957169532776
290,2048,layers.1.query,0,0.2401261329650879
291,2048,layers.1.key,0,0.23920074105262756
292,2048,layers.1.value,0,0.22682078182697296
293,2048,layers.1,0,0.22560590505599976
294,2048,layers.2.query,0,0.15996049344539642
295,2048,layers.2.key,0,0.1558251827955246
296,2048,layers.2.value,0,0.1603100299835205
297,2048,layers.2,0,0.1603100299835205
298,2048,layers.3.query,0,0.12006624788045883
299,2048,layers.3.key,0,0.11523381620645523
300,2048,layers.3.value,0,0.12021595239639282
301,2048,layers.3,0,0.12021595239639282
302,2048,fout,0,0.0644032433629036
303,2048,,0,0.0644032433629036
304,2048,fin,1,0.8067179322242737
305,2048,layers.0.query,1,0.5643737316131592
306,2048,layers.0.key,1,0.5702306628227234
307,2048,layers.0.value,1,0.5668097138404846
308,2048,layers.0,1,0.3313599228858948
309,2048,layers.1.query,1,0.24051904678344727
310,2048,layers.1.key,1,0.23936232924461365
311,2048,layers.1.value,1,0.22722578048706055
312,2048,layers.1,1,0.22598044574260712
313,2048,layers.2.query,1,0.15993644297122955
314,2048,layers.2.key,1,0.15580180287361145
315,2048,layers.2.value,1,0.1605413854122162
316,2048,layers.2,1,0.16054140031337738
317,2048,layers.3.query,1,0.12049165368080139
318,2048,layers.3.key,1,0.11510790139436722
319,2048,layers.3.value,1,0.12005327641963959
320,2048,layers.3,1,0.12005327641963959
321,2048,fout,1,0.0611707977950573
322,2048,,1,0.0611707977950573
323,2048,fin,2,0.8067548871040344
324,2048,layers.0.query,2,0.5646882653236389
325,2048,layers.0.key,2,0.5702722668647766
326,2048,layers.0.value,2,0.5669767260551453
327,2048,layers.0,2,0.33317604660987854
328,2048,layers.1.query,2,0.24184982478618622
329,2048,layers.1.key,2,0.2406063675880432
330,2048,layers.1.value,2,0.22914132475852966
331,2048,layers.1,2,0.22787687182426453
